layer,r,path,median_ms,iqr_ms,peak_mem_MiB,rel_rms_vs_fp64,rel_linf_peaknorm_vs_fp64
resnet50-3x3-56,3,cudnn_best,0.361,0.004,6.5,2.65e-07,3.54e-07
resnet50-3x3-56,3,im2col,0.782,0.006,62.1,4.27e-07,9.27e-07
resnet50-3x3-56,3,fft,4.315,0.036,168.8,2.89e-07,2.93e-07
resnet50-3x3-14,3,cudnn_best,0.383,0.003,8.5,5.00e-07,6.39e-07
resnet50-3x3-14,3,im2col,0.848,0.034,16.2,8.29e-07,1.94e-06
resnet50-3x3-14,3,fft,8.471,0.067,212.5,4.23e-07,4.24e-07
dense-5x5-56,5,cudnn_best,0.895,0.037,31.6,2.77e-07,2.76e-07
dense-5x5-56,5,im2col,1.953,0.022,160.1,7.06e-07,1.75e-06
dense-5x5-56,5,fft,3.245,0.038,180.2,4.01e-07,4.19e-07
dense-7x7-56,7,cudnn_best,0.826,0.020,156.1,2.48e-07,2.69e-07
dense-7x7-56,7,im2col,3.670,0.036,306.2,9.82e-07,2.33e-06
dense-7x7-56,7,fft,4.915,0.036,192.6,2.93e-07,3.25e-07
dense-13x13-28,13,cudnn_best,0.836,0.004,153.5,1.81e-07,2.17e-07
dense-13x13-28,13,im2col,4.008,0.031,260.3,1.70e-06,3.84e-06
dense-13x13-28,13,fft,1.559,0.018,83.8,3.16e-07,3.70e-07
dense-31x31-28,31,cudnn_best,0.391,0.004,46.8,1.92e-07,2.23e-07
dense-31x31-28,31,im2col,12.025,0.036,736.8,2.34e-06,5.96e-06
dense-31x31-28,31,fft,1.408,0.030,47.5,2.19e-07,2.33e-07
