layer,r,path,median_ms,max_rel_err_vs_fp64
resnet50-3x3-56,3,onednn,5.50,9.29e-07
resnet50-3x3-56,3,native,12.08,5.00e-07
resnet50-3x3-56,3,im2col,20.73,5.00e-07
resnet50-3x3-56,3,fft,135.38,2.08e-07
resnet50-3x3-14,3,onednn,5.19,1.98e-06
resnet50-3x3-14,3,native,6.69,3.01e-07
resnet50-3x3-14,3,im2col,8.87,3.01e-07
resnet50-3x3-14,3,fft,53.89,3.39e-07
dense-5x5-56,5,onednn,12.59,1.52e-06
dense-5x5-56,5,native,32.64,4.36e-07
dense-5x5-56,5,im2col,52.07,4.36e-07
dense-5x5-56,5,fft,175.26,3.18e-07
dense-7x7-56,7,onednn,29.96,2.74e-06
dense-7x7-56,7,native,109.58,3.86e-07
dense-7x7-56,7,im2col,192.03,3.86e-07
dense-7x7-56,7,fft,228.08,2.42e-07
dense-13x13-28,13,onednn,46.11,4.17e-07
dense-13x13-28,13,native,57.01,4.09e-07
dense-13x13-28,13,im2col,106.75,4.09e-07
dense-13x13-28,13,fft,68.89,2.92e-07
dense-31x31-28,31,onednn,113.20,4.91e-07
dense-31x31-28,31,native,222.79,4.85e-07
dense-31x31-28,31,im2col,249.55,4.85e-07
dense-31x31-28,31,fft,54.50,1.79e-07
